elec,layer,layer_coord_um,in_sc_band,x_um,y_um,evoked_amp_uV,slope_uV_per_ms,peak_time_ms,reversal_frac,n_band_samples,edge_peak,pop_spike,thin,valid,verdict
0,SLM,854.0,0,-902.1,-251.0,-25.272595,-5.229642,22.800,0.0000,7,1,0,0,0,★흐름꼬리
1,SLM,700.2,0,-702.1,-251.0,-40.151376,-7.419814,23.600,0.0000,8,1,0,0,0,★흐름꼬리
2,SR,546.4,0,-502.1,-251.0,-59.496338,-9.993141,24.000,0.0000,9,1,0,0,0,★흐름꼬리
3,SR,392.5,1,-302.1,-251.0,-80.593775,-10.641766,24.000,0.0000,11,1,0,0,0,★흐름꼬리
4,SR,238.7,1,-102.1,-251.0,-206.382898,-169.685143,4.400,3.6110,2,0,1,0,0,자극전극
5,SP,84.9,1,97.9,-251.0,-271.320579,-81.109858,4.000,0.3255,5,0,1,0,0,★집단스파이크
6,SP,-68.9,0,297.9,-251.0,-158.131224,-59.077879,4.000,0.0000,4,0,0,0,1,정상
7,SO,-222.8,0,497.9,-251.0,-93.272222,-42.063198,3.600,0.0000,4,0,0,0,1,정상
8,SLM,726.2,0,-902.1,-51.0,-40.190425,-10.869748,23.600,0.0000,5,1,0,0,0,★흐름꼬리
9,SR,572.4,0,-702.1,-51.0,-53.655004,-13.377434,24.000,0.0000,6,1,0,0,0,★흐름꼬리
10,SR,418.5,1,-502.1,-51.0,-580.816315,-662.750792,2.000,0.0000,1,0,0,1,0,★표본부족
11,SR,264.7,1,-302.1,-51.0,-1599.312158,-1685.378734,2.400,0.0000,1,0,0,1,0,★표본부족
12,SP,110.9,1,-102.1,-51.0,-3563.121810,-1728.264315,3.600,0.0000,4,0,0,0,1,정상
13,SP,-42.9,0,97.9,-51.0,-687.261148,-388.588934,3.600,0.0000,2,0,0,0,1,정상
14,SO,-196.8,0,297.9,-51.0,-273.546993,-182.717528,3.600,0.0000,2,0,0,0,1,정상
15,SO,-350.6,0,497.9,-51.0,-134.391431,-95.992415,3.600,0.0000,2,0,0,0,1,정상
16,SLM,598.4,0,-902.1,149.0,-1362.032415,-5827.310727,3.600,0.0000,0,0,0,1,0,★표본부족
17,SR,444.5,0,-702.1,149.0,-15363.996939,-25966.141040,3.200,1.5458,1,0,1,1,0,★집단스파이크
18,SR,290.7,1,-502.1,149.0,-17708.407936,-11200.216642,3.200,0.0000,2,0,0,0,1,정상
19,SP,136.9,1,-302.1,149.0,-11428.043213,-13433.337572,3.200,0.0000,1,0,0,1,0,★표본부족
20,SP,-16.9,0,-102.1,149.0,-4218.725305,-8747.507003,4.000,0.0000,0,0,0,1,0,★표본부족
21,SO,-170.8,0,97.9,149.0,-662.994278,-825.863751,3.200,0.0000,1,0,0,1,0,★표본부족
22,SO,-324.6,0,297.9,149.0,-312.304032,-327.041203,3.200,0.0000,1,0,0,1,0,★표본부족
23,SO,-478.4,0,497.9,149.0,-160.811119,-160.260330,3.200,0.0000,1,0,0,1,0,★표본부족
