elec,layer,layer_coord_um,in_sc_band,x_um,y_um,evoked_amp_uV,slope_uV_per_ms,peak_time_ms,reversal_frac,n_band_samples,edge_peak,pop_spike,thin,valid,verdict
0,SLM,854.0,0,-902.1,-251.0,0.000000,0.000000,0.000,0.0000,0,0,0,1,0,양(+)방향
1,SLM,700.2,0,-702.1,-251.0,0.000000,0.000000,0.000,0.0000,0,0,0,1,0,양(+)방향
2,SR,546.4,0,-502.1,-251.0,-0.000785,-0.000985,0.800,0.0000,1,0,0,1,0,★표본부족
3,SR,392.5,1,-302.1,-251.0,-0.000675,-0.000847,0.800,0.0000,1,0,0,1,0,★표본부족
4,SR,238.7,1,-102.1,-251.0,-13.433114,-7.776002,2.800,0.0000,2,0,0,0,1,자극전극
5,SP,84.9,1,97.9,-251.0,-8.067326,-4.346176,2.800,0.0000,3,0,0,0,1,정상
6,SP,-68.9,0,297.9,-251.0,-3.780040,-2.001088,3.200,0.0000,3,0,0,0,1,정상
7,SO,-222.8,0,497.9,-251.0,-2.021528,-1.053668,3.600,0.0000,3,0,0,0,1,정상
8,SLM,726.2,0,-902.1,-51.0,-0.004379,-0.005477,0.800,0.0000,1,0,0,1,0,★표본부족
9,SR,572.4,0,-702.1,-51.0,-0.004198,-0.005252,0.800,0.0000,1,0,0,1,0,★표본부족
10,SR,418.5,1,-502.1,-51.0,0.000000,0.000000,0.000,0.0000,0,0,0,1,0,양(+)방향
11,SR,264.7,1,-302.1,-51.0,-87.586959,-56.790659,2.800,0.0000,2,0,0,0,1,정상
12,SP,110.9,1,-102.1,-51.0,-94.383054,-45.586602,3.600,0.0000,3,0,0,0,1,정상
13,SP,-42.9,0,97.9,-51.0,-12.469234,-6.137038,3.600,0.0000,3,0,0,0,1,정상
14,SO,-196.8,0,297.9,-51.0,-4.725214,-2.409755,3.600,0.0000,3,0,0,0,1,정상
15,SO,-350.6,0,497.9,-51.0,-2.384092,-1.247480,3.600,0.0000,3,0,0,0,1,정상
16,SLM,598.4,0,-902.1,149.0,0.000000,0.000000,0.000,0.0000,0,0,0,1,0,양(+)방향
17,SR,444.5,0,-702.1,149.0,-207.654372,-110.946065,3.200,0.0000,3,0,0,0,1,정상
18,SR,290.7,1,-502.1,149.0,-429.503321,-187.940315,3.200,0.0000,3,0,0,0,1,정상
19,SP,136.9,1,-302.1,149.0,-135.637784,-59.809472,4.400,0.0000,4,0,0,0,1,정상
20,SP,-16.9,0,-102.1,149.0,-10.077769,-3.001746,10.000,0.0000,5,0,0,0,1,정상
21,SO,-170.8,0,97.9,149.0,-6.496246,-5.692003,4.400,0.0000,1,0,0,1,0,★표본부족
22,SO,-324.6,0,297.9,149.0,-3.994870,-2.660293,4.400,0.0000,2,0,0,0,1,정상
23,SO,-478.4,0,497.9,149.0,-2.291592,-1.392837,4.400,0.0000,2,0,0,0,1,정상
