전극,층,조직위,자극전극거리um,자극전극여부,구간,펄스번호,자극시각ms,기울기uV_per_ms,진폭uV,피크시각ms,기울기_교차시각,기울기_옛표본회귀,띠표본수
0,SLM,1,800.0,0,base,1,200.0,-0.030582766239989304,-0.05922683080037405,204.4,-0.030582766239989304,-0.02481698989868277,3
0,SLM,1,800.0,0,base,2,400.0,-0.03979647394055928,-0.07585354646046927,404.40000000000003,-0.03979647394055928,-0.03111004829406478,3
0,SLM,1,800.0,0,base,3,600.0,-0.04260822812543089,-0.08057908217112253,604.4,-0.04260822812543089,-0.03291666507721522,3
0,SLM,1,800.0,0,post,1,1600.0,-0.047467290256763134,-0.0887146790822344,1604.4,-0.047467290256763134,-0.04416227340701132,2
0,SLM,1,800.0,0,post,2,1800.0,-0.04519738941406228,-0.08486477533976267,1804.4,-0.04519738941406228,-0.042347908020065515,2
0,SLM,1,800.0,0,post,3,2000.0,-0.04450185469987376,-0.08368603388468454,2004.4,-0.04450185469987376,-0.03410100936892141,3
0,SLM,1,800.0,0,post,4,2200.0,-0.04426033027249536,-0.08329244454701712,2204.4,-0.04426033027249536,-0.033950805664051155,3
1,SLM,1,600.0,0,base,1,200.0,-0.04450504759367537,-0.08863919973373413,204.8,-0.04450504759367537,-0.03503590822220009,3
1,SLM,1,600.0,0,base,2,400.0,-0.05782022050744301,-0.11136889457702637,404.8,-0.05782022050744301,-0.0432506203651392,3
1,SLM,1,600.0,0,base,3,600.0,-0.06189487951345302,-0.11796436707178737,604.8000000000001,-0.06189487951345302,-0.055912137031579254,2
1,SLM,1,600.0,0,post,1,1600.0,-0.06873000543419244,-0.12935125827789307,1604.4,-0.06873000543419244,-0.06088912487034013,2
1,SLM,1,600.0,0,post,2,1800.0,-0.06546138898893974,-0.12396119038263942,1804.4,-0.06546138898893974,-0.058563947677675976,2
1,SLM,1,600.0,0,post,3,2000.0,-0.06447764934144133,-0.1223103404045105,2004.4,-0.06447764934144133,-0.05783975124364372,2
1,SLM,1,600.0,0,post,4,2200.0,-0.06415037804187418,-0.12175846099853516,2204.4,-0.06415037804187418,-0.05759656429293219,2
2,SR,1,400.0,0,base,1,200.0,-0.06353709006136903,-0.13116294145584106,204.8,-0.06353709006136903,-0.04691883921623443,3
2,SR,1,400.0,0,base,2,400.0,-0.08251779509147092,-0.16136601567268372,404.8,-0.08251779509147092,-0.06926417350768786,2
2,SR,1,400.0,0,base,3,600.0,-0.08788063022994279,-0.169963538646698,604.8000000000001,-0.08788063022994279,-0.07239699363711612,2
2,SR,1,400.0,0,post,1,1600.0,-0.09745779097473804,-0.1845449606577556,1604.8000000000002,-0.09745779097473804,-0.07740467786794009,2
2,SR,1,400.0,0,post,2,1800.0,-0.09284626160912042,-0.1776821811993916,1804.8000000000002,-0.09284626160912042,-0.0751137733460289,2
2,SR,1,400.0,0,post,3,2000.0,-0.09147247836153306,-0.17557070652643847,2004.8000000000002,-0.09147247836153306,-0.0743812322617251,2
2,SR,1,400.0,0,post,4,2200.0,-0.0910154818047598,-0.17486363649368286,2204.8,-0.0910154818047598,-0.0741338729858714,2
3,SR,1,200.0,0,base,1,200.0,-1.0286976643500612,-0.9519318640232086,202.8,-1.0286976643500612,-1.2422020733356964,2
3,SR,1,200.0,0,base,2,400.0,-1.3309901820869856,-1.1863857110341391,402.8,-1.3309901820869856,-1.580284833908698,2
3,SR,1,200.0,0,base,3,600.0,-1.4279996702925128,-1.2544854134321213,602.8000000000001,-1.4279996702925128,-1.6816943883895963,2
3,SR,1,200.0,0,post,1,1600.0,-1.612917339802082,-1.3708250323931375,1602.8000000000002,-1.612917339802082,-1.8604320287681373,2
