전극,층,조직위,자극전극거리um,자극전극여부,구간,펄스번호,자극시각ms,기울기uV_per_ms,진폭uV,피크시각ms,기울기_교차시각,기울기_옛표본회귀,띠표본수
0,SLM,1,800.0,0,base,1,200.0,-0.1423259237287106,-0.21441253026326468,204.4,-0.1423259237287106,-0.15290260314939313,3
0,SLM,1,800.0,0,base,2,400.0,-0.14227451147062845,-0.21434680620829294,404.40000000000003,-0.14227451147062845,-0.15265166759491702,3
0,SLM,1,800.0,0,base,3,600.0,-0.142277132435468,-0.21434398492177298,604.4,-0.142277132435468,-0.15264153480532758,3
0,SLM,1,800.0,0,post,1,1600.0,-0.14228342377057107,-0.21479626496632864,1604.4,-0.14228342377057107,-0.15282392501825837,3
0,SLM,1,800.0,0,post,2,1800.0,-0.14227350016405796,-0.2143537998199463,1804.4,-0.14227350016405796,-0.152642726898155,3
0,SLM,1,800.0,0,post,3,2000.0,-0.14227575934573478,-0.21434279282887747,2004.4,-0.14227575934573478,-0.15263974666599456,3
0,SLM,1,800.0,0,post,4,2200.0,-0.1422753298632503,-0.21434231599171927,2204.4,-0.1422753298632503,-0.15263974666616537,3
1,SLM,1,600.0,0,base,1,200.0,-0.2089610680831533,-0.29663270711898804,204.4,-0.2089610680831533,-0.3021883964538693,2
1,SLM,1,600.0,0,base,2,400.0,-0.2088890814330657,-0.2951602339744568,404.40000000000003,-0.2088890814330657,-0.3016734123231158,2
1,SLM,1,600.0,0,base,3,600.0,-0.20888767886772733,-0.2950930992762246,604.4,-0.20888767886772733,-0.301645994186403,2
1,SLM,1,600.0,0,post,1,1600.0,-0.20892582757631872,-0.2958811720212302,1604.4,-0.20892582757631872,-0.30180871486626354,2
1,SLM,1,600.0,0,post,2,1800.0,-0.20887933604331616,-0.29510796070098877,1804.4,-0.20887933604331616,-0.30163943767521006,2
1,SLM,1,600.0,0,post,3,2000.0,-0.20888528116600194,-0.2950873176256814,2004.4,-0.20888528116600194,-0.30164182186131555,2
1,SLM,1,600.0,0,post,4,2200.0,-0.2088843510561773,-0.2950861056645713,2204.4,-0.2088843510561773,-0.3016406297696694,2
2,SR,1,400.0,0,base,1,200.0,-0.35520211397055595,-0.36411052942276,204.8,-0.35520211397055595,-0.40222287178041133,2
2,SR,1,400.0,0,base,2,400.0,-0.35269601670220985,-0.36324140429496765,406.0,-0.35269601670220985,-0.4010763764382974,2
2,SR,1,400.0,0,base,3,600.0,-0.35246036119523255,-0.3632125357786815,606.0,-0.35246036119523255,-0.401003360748293,2
2,SR,1,400.0,0,post,1,1600.0,-0.352876872540008,-0.3636335631211598,1606.0,-0.352876872540008,-0.40135562419841536,2
2,SR,1,400.0,0,post,2,1800.0,-0.35233375881532986,-0.36324008305867506,1806.0,-0.35233375881532986,-0.4009985923763554,2
2,SR,1,400.0,0,post,3,2000.0,-0.35244676397764274,-0.36320538322130846,2006.0,-0.35244676397764274,-0.40099292993551966,2
2,SR,1,400.0,0,post,4,2200.0,-0.3524568965063562,-0.36319967110951734,2206.0,-0.3524568965063562,-0.4009890556352701,2
3,SR,1,200.0,0,base,1,200.0,-3.6099560503659447,-2.8392694294452667,202.0,-3.6099560503659447,-1.4197277419621026,1
3,SR,1,200.0,0,base,2,400.0,-3.593700214764905,-2.8219235291083655,402.0,-3.593700214764905,-1.4116040163134698,1
3,SR,1,200.0,0,base,3,600.0,-3.593868377757645,-2.8219355990489325,602.0,-3.593868377757645,-1.4116129272078592,1
3,SR,1,200.0,0,post,1,1600.0,-3.6053118346601813,-2.8341298003991446,1602.0,-3.6053118346601813,-1.4173398904866272,1
3,SR,1,200.0,0,post,2,1800.0,-3.5935842420592166,-2.8217865775028863,1802.0,-3.5935842420592166,-1.4115371697043877,1
3,SR,1,200.0,0,post,3,2000.0,-3.5938385003996265,-2.821908434232076,2002.0,-3.5938385003996265,-1.411599635372081,1
3,SR,1,200.0,0,post,4,2200.0,-3.593843931723202,-2.8219106942415237,2202.0,-3.593843931723202,-1.4116004996394298,1
4,SR,1,0.0,1,base,1,200.0,-1.365201319779482,-1.2181983838478723,207.20000000000002,-1.365201319779482,-0.16922531026238222,1
4,SR,1,0.0,1,base,2,400.0,-1.3561579225744147,-1.2066563069820404,407.20000000000005,-1.3561579225744147,-0.16772537593366293,1
4,SR,1,0.0,1,base,3,600.0,-1.3553996170073654,-1.205870971083641,607.2,-1.3553996170073654,-0.167620960185823,1
4,SR,1,0.0,1,post,1,1600.0,-1.3590922175298243,-1.2109631995360055,1607.2,-1.3590922175298243,-0.16829037829551785,1
4,SR,1,0.0,1,post,2,1800.0,-1.3555715162781223,-1.2060435016949973,1807.2,-1.3555715162781223,-0.167642931120158,1
4,SR,1,0.0,1,post,3,2000.0,-1.3553223843165796,-1.205799107750257,2007.2,-1.3553223843165796,-0.16761115025470508,1
4,SR,1,0.0,1,post,4,2200.0,-1.3552762215191487,-1.2057645320892334,2207.2000000000003,-1.3552762215191487,-0.16760635704784976,1
5,SP,1,200.0,0,base,1,200.0,-0.033278954068517295,-0.3515302961071332,228.8,-0.033278954068517295,-0.02952043482047603,16
5,SP,1,200.0,0,base,2,400.0,-0.03182506269051603,-0.35154204815626144,429.20000000000005,-0.03182506269051603,-0.028683232764403047,17
