pre,post,component,original_class,original_e_rev,original_tau_rise,original_tau_decay,compartment,compressed_port
CA3,Bistratified,A,AMPA_fast,0.0,2.0,6.3,dend,AMPA_fast__e0__tr2__td6p3__dend
ECIII,Bistratified,A,AMPA_slow,0.0,2.0,6.3,dend,AMPA_slow__e0__tr2__td6p3__dend
Bistratified,Bistratified,A,GABA_A_slow,-60.0,0.287,2.67,dend,GABA_A_slow__em60__tr0p287__td2p67__dend
CCK_Basket,Bistratified,A,GABA_A_slow,-60.0,0.432,4.49,dend,GABA_A_slow__em60__tr0p432__td4p49__dend
CCK_Basket,Bistratified,A,GABA_A_slow,-60.0,0.432,4.49,soma,GABA_A_slow__em60__tr0p432__td4p49__soma
Ivy,Bistratified,A,GABA_A_slow,-60.0,2.9,3.1,dend,GABA_A_slow__em60__tr2p9__td3p1__dend
Neurogliaform,Bistratified,A,GABA_A_slow,-60.0,8.0,39.0,dend,GABA_A_slow__em60__tr8__td39__dend
Neurogliaform,Bistratified,B,GABA_B,-90.0,180.0,200.0,dend,GABA_B__em90__tr180__td200__dend
O_LM,Bistratified,A,GABA_A_slow,-60.0,0.6,15.0,dend,GABA_A_slow__em60__tr1__td8__dend
Pyramidal,Bistratified,A,AMPA_fast,0.0,0.11,0.25,dend,AMPA_fast__e0__tr0p07__td0p2__dend
PV_Basket,Bistratified,A,GABA_A_fast,-60.0,0.18,0.45,soma,GABA_A_fast__em60__tr0p287__td2p67__soma
SCA,Bistratified,A,GABA_A_slow,-60.0,0.419,4.99,dend,GABA_A_slow__em60__tr0p432__td4p49__dend
CA3,CCK_Basket,A,AMPA_fast,0.0,2.0,6.3,dend,AMPA_fast__e0__tr2__td6p3__dend
ECIII,CCK_Basket,A,AMPA_slow,0.0,2.0,6.3,dend,AMPA_slow__e0__tr2__td6p3__dend
Bistratified,CCK_Basket,A,GABA_A_slow,-60.0,0.287,2.67,dend,GABA_A_slow__em60__tr0p287__td2p67__dend
CCK_Basket,CCK_Basket,A,GABA_A_slow,-60.0,0.432,4.49,dend,GABA_A_slow__em60__tr0p432__td4p49__dend
CCK_Basket,CCK_Basket,A,GABA_A_slow,-60.0,0.432,4.49,soma,GABA_A_slow__em60__tr0p432__td4p49__soma
Ivy,CCK_Basket,A,GABA_A_slow,-60.0,2.9,3.1,dend,GABA_A_slow__em60__tr2p9__td3p1__dend
