variant,scope,post,unique_ports,component_rows,within_user_m2_20_port_limit
120,all_syndata,Axo,12,12,True
120,all_syndata,Bistratified,12,12,True
120,all_syndata,CCK_Basket,12,12,True
120,all_syndata,Ivy,12,12,True
120,all_syndata,Neurogliaform,11,11,True
120,all_syndata,O_LM,7,9,True
120,all_syndata,PV_Basket,12,12,True
120,all_syndata,Pyramidal,13,13,True
120,all_syndata,SCA,12,12,True
120,paper_used_conndata430,Axo,10,10,True
120,paper_used_conndata430,Bistratified,10,10,True
120,paper_used_conndata430,CCK_Basket,9,9,True
120,paper_used_conndata430,Ivy,8,8,True
120,paper_used_conndata430,Neurogliaform,5,5,True
120,paper_used_conndata430,O_LM,5,7,True
120,paper_used_conndata430,PV_Basket,9,9,True
120,paper_used_conndata430,Pyramidal,13,13,True
120,paper_used_conndata430,SCA,10,10,True
137,all_syndata,Axo,12,12,True
137,all_syndata,Bistratified,12,12,True
137,all_syndata,CCK_Basket,12,12,True
137,all_syndata,Ivy,12,12,True
137,all_syndata,Neurogliaform,11,11,True
137,all_syndata,O_LM,7,9,True
137,all_syndata,PV_Basket,12,12,True
137,all_syndata,Pyramidal,13,13,True
137,all_syndata,SCA,12,12,True
137,paper_used_conndata430,Axo,10,10,True
137,paper_used_conndata430,Bistratified,10,10,True
137,paper_used_conndata430,CCK_Basket,9,9,True
137,paper_used_conndata430,Ivy,8,8,True
137,paper_used_conndata430,Neurogliaform,5,5,True
137,paper_used_conndata430,O_LM,5,7,True
137,paper_used_conndata430,PV_Basket,9,9,True
137,paper_used_conndata430,Pyramidal,13,13,True
137,paper_used_conndata430,SCA,10,10,True
