elec,layer,layer_coord_um,in_sc_band,x_um,y_um,evoked_amp_uV,slope_uV_per_ms,peak_time_ms,is_source_pos,up_uV,down_uV,down_up_ratio,reversal_frac_pre,reversal_frac_post,fwhm_ms,width_ratio,pop_why,n_band_samples,edge_peak,pop_spike,thin,valid,verdict
0,SLM,854.0,0,-902.1,-251.0,,,,1,25.364470,0.000000,0.000,,,,,,0,0,0,1,0,양(+)방향
1,SLM,700.2,0,-702.1,-251.0,,,,1,32.147706,0.000000,0.000,,,,,,0,0,0,1,0,양(+)방향
2,SR,546.4,0,-502.1,-251.0,,,,1,32.493508,0.000785,0.000,,,,,,1,0,1,1,0,양(+)방향
3,SR,392.5,1,-302.1,-251.0,,,,1,21.797265,0.000675,0.000,,,,,,1,0,1,1,0,양(+)방향
4,SR,238.7,1,-102.1,-251.0,-7.708087,-4.520854,2.800,0,0.003431,7.708087,2246.411,0.0000,0.0165,2.422,2.368,,2,0,0,0,1,자극전극
5,SP,84.9,1,97.9,-251.0,-4.587868,-2.467586,2.800,0,0.002101,4.587868,2183.325,0.0000,0.0000,5.344,4.791,,3,0,0,0,1,정상
6,SP,-68.9,0,297.9,-251.0,-2.110304,-1.115662,3.200,0,0.001297,2.110304,1627.350,0.0000,0.0000,6.216,5.477,,3,0,0,0,1,정상
7,SO,-222.8,0,497.9,-251.0,-1.121045,-0.576633,3.600,0,0.000926,1.121045,1211.034,0.0000,0.0000,6.490,5.564,,3,0,0,0,1,정상
8,SLM,726.2,0,-902.1,-51.0,,,,1,85.149684,0.004379,0.000,,,,,,1,0,1,1,0,양(+)방향
9,SR,572.4,0,-702.1,-51.0,,,,1,114.583802,0.004198,0.000,,,,,,1,0,1,1,0,양(+)방향
10,SR,418.5,1,-502.1,-51.0,,,,1,43.126349,4.910938,0.114,,,,,,1,0,1,1,0,양(+)방향
11,SR,264.7,1,-302.1,-51.0,-36.227463,-24.071064,2.800,0,0.020134,36.227463,1799.319,0.0000,0.2178,1.898,2.102,redip+narrow,2,0,1,0,0,★집단스파이크
12,SP,110.9,1,-102.1,-51.0,-60.267619,-30.801584,3.200,0,0.011184,60.267619,5388.929,0.0000,0.0000,3.181,2.710,,3,0,0,0,1,정상
13,SP,-42.9,0,97.9,-51.0,-6.881022,-3.389983,3.600,0,0.002751,6.881022,2501.551,0.0000,0.0000,6.666,5.473,,3,0,0,0,1,정상
14,SO,-196.8,0,297.9,-51.0,-2.616619,-1.291143,4.000,0,0.001408,2.616619,1858.049,0.0000,0.0000,6.861,5.643,,3,0,0,0,1,정상
15,SO,-350.6,0,497.9,-51.0,-1.330464,-0.654734,4.000,0,0.001086,1.330464,1225.001,0.0000,0.0000,6.862,5.628,,3,0,0,0,1,정상
16,SLM,598.4,0,-902.1,149.0,,,,1,157.336118,0.000000,0.000,,,,,,0,0,0,1,0,양(+)방향
17,SR,444.5,0,-702.1,149.0,-137.254667,-64.284184,4.000,0,0.041800,137.254667,3283.571,0.0571,0.0000,5.031,3.928,,4,0,0,0,1,정상
18,SR,290.7,1,-502.1,149.0,-193.434755,-83.372402,4.000,0,0.025639,193.434755,7544.566,0.0000,0.0000,5.455,3.918,,3,0,0,0,1,정상
19,SP,136.9,1,-302.1,149.0,-65.195242,-27.513870,4.800,0,12.680341,65.195242,5.141,0.0614,0.0000,5.404,3.801,,4,0,0,0,1,정상
20,SP,-16.9,0,-102.1,149.0,,,,1,34.117840,5.506421,0.161,,,,,,5,0,0,0,0,양(+)방향
21,SO,-170.8,0,97.9,149.0,-3.452094,-3.232804,5.200,0,1.080105,3.452094,3.196,0.0064,0.0000,10.237,15.977,,1,0,0,1,0,★표본부족
22,SO,-324.6,0,297.9,149.0,-2.196458,-1.436693,4.000,0,0.060416,2.196458,36.356,0.0000,0.0000,8.013,8.736,,2,0,0,0,1,정상
23,SO,-478.4,0,497.9,149.0,-1.280209,-0.741871,4.000,0,0.012973,1.280209,98.682,0.0000,0.0000,7.476,7.220,,3,0,0,0,1,정상
