전극,층,조직위,자극전극거리um,자극전극여부,기저선평균uV_per_ms,기저선표준편차,기저선흔들림pct,사후평균uV_per_ms,LTP_pct,신호대잡음,대조군LTP_pct,차분_실험군빼기대조군_pct
0,SLM,1,800.0,0,0.03766,0.00629,16.702,0.04536,20.429,5.99,,
1,SLM,1,600.0,0,0.05474,0.00909,16.615,0.0657,20.031,6.02,,
2,SR,1,400.0,0,0.07798,0.01279,16.403,0.0932,19.518,6.1,,
3,SR,1,200.0,0,1.26256,0.20826,16.495,1.52867,21.077,6.06,,
4,SR,1,0.0,1,0.36137,0.05742,15.888,0.43136,19.366,6.29,,
5,SP,1,200.0,0,0.02918,0.00362,12.403,0.03344,14.579,8.06,,
6,SP,1,400.0,0,0.00012,0.00012,94.428,0.00023,86.212,1.06,,
7,SO,1,600.0,0,0.00016,0.00015,91.33,0.00028,77.67,1.09,,
8,SLM,1,824.6,0,0.04646,0.00765,16.473,0.0559,20.324,6.07,,
9,SR,1,632.5,0,0.07232,0.01193,16.493,0.08712,20.459,6.06,,
10,SR,1,447.2,0,0.06443,0.01051,16.315,0.07743,20.177,6.13,,
11,SR,1,282.8,0,0.03267,0.00482,14.741,0.03869,18.438,6.78,,
12,SP,1,200.0,0,0.16724,0.03082,18.426,0.20779,24.243,5.43,,
13,SP,1,282.8,0,0.00125,0.00113,90.89,0.0022,76.52,1.1,,
14,SO,1,447.2,0,0.00073,0.00066,90.667,0.00129,76.458,1.1,,
15,SO,1,632.5,0,0.00036,0.00032,90.116,0.00062,74.796,1.11,,
16,SLM,1,894.4,0,0.05425,0.00874,16.102,0.06511,20.005,6.21,,
17,SR,1,721.1,0,0.11601,0.01878,16.191,0.13923,20.021,6.18,,
18,SR,1,565.7,0,0.26061,0.04085,15.676,0.31058,19.175,6.38,,
19,SP,1,447.2,0,0.64233,0.11897,18.521,0.79386,23.589,5.4,,
20,SP,1,400.0,0,0.00235,0.00048,20.564,0.00288,22.572,4.86,,
21,SO,1,447.2,0,0.00238,0.00081,33.96,0.00319,34.24,2.94,,
22,SO,1,565.7,0,0.00137,0.0002,14.731,0.0016,17.442,6.79,,
23,SO,1,721.1,0,0.00049,0.00028,57.525,0.00074,50.646,1.74,,
