전극,층,조직위,자극전극거리um,자극전극여부,구간,펄스번호,자극시각ms,기울기uV_per_ms,진폭uV,피크시각ms,기울기_교차시각,기울기_옛표본회귀,띠표본수
0,SLM,1,800.0,0,base,1,200.0,-0.1423259237287106,-0.21441253026326468,204.4,-0.1423259237287106,-0.15290260314939313,3
0,SLM,1,800.0,0,base,2,400.0,-0.14227451147062845,-0.21434680620829294,404.40000000000003,-0.14227451147062845,-0.15265166759491702,3
0,SLM,1,800.0,0,base,3,600.0,-0.142277132435468,-0.21434398492177298,604.4,-0.142277132435468,-0.15264153480532758,3
0,SLM,1,800.0,0,post,1,1600.0,-0.10828305311332327,-0.5539323886235552,1605.2,-0.10828305311332327,-0.03088831901549867,7
0,SLM,1,800.0,0,post,2,1800.0,-0.11430562663335816,-0.5882078806559248,1805.2,-0.11430562663335816,-0.033836066722876125,7
0,SLM,1,800.0,0,post,3,2000.0,-0.11851286209782795,-0.6132504542668658,2005.2,-0.11851286209782795,-0.03534223352159127,7
0,SLM,1,800.0,0,post,4,2200.0,-0.121200985529428,-0.6310519377390547,2205.2000000000003,-0.121200985529428,-0.03643487180981086,7
1,SLM,1,600.0,0,base,1,200.0,-0.2089610680831533,-0.29663270711898804,204.4,-0.2089610680831533,-0.3021883964538693,2
1,SLM,1,600.0,0,base,2,400.0,-0.2088890814330657,-0.2951602339744568,404.40000000000003,-0.2088890814330657,-0.3016734123231158,2
1,SLM,1,600.0,0,base,3,600.0,-0.20888767886772733,-0.2950930992762246,604.4,-0.20888767886772733,-0.301645994186403,2
1,SLM,1,600.0,0,post,1,1600.0,-0.11858385797816073,-0.5809099872907004,1605.2,-0.11858385797816073,-0.044444629124248965,8
1,SLM,1,600.0,0,post,2,1800.0,-0.12018206655661652,-0.5919384161631265,1805.2,-0.12018206655661652,-0.045497460024700925,8
1,SLM,1,600.0,0,post,3,2000.0,-0.12093168055120275,-0.5995572209358215,2005.2,-0.12093168055120275,-0.04569263685317976,8
1,SLM,1,600.0,0,post,4,2200.0,-0.12123518784393443,-0.6045369505882263,2205.2000000000003,-0.12123518784393443,-0.04572998909725313,8
2,SR,1,400.0,0,base,1,200.0,-0.35520211397055595,-0.36411052942276,204.8,-0.35520211397055595,-0.40222287178041133,2
2,SR,1,400.0,0,base,2,400.0,-0.35269601670220985,-0.36324140429496765,406.0,-0.35269601670220985,-0.4010763764382974,2
2,SR,1,400.0,0,base,3,600.0,-0.35246036119523255,-0.3632125357786815,606.0,-0.35246036119523255,-0.401003360748293,2
2,SR,1,400.0,0,post,1,1600.0,-0.13644849180335336,-0.8912402590115864,1608.4,-0.13644849180335336,-0.05907819736114969,14
2,SR,1,400.0,0,post,2,1800.0,-0.13946920590062667,-0.8894546627998352,1808.4,-0.13946920590062667,-0.05970823690987524,13
2,SR,1,400.0,0,post,3,2000.0,-0.13960861212480105,-0.8885359565416973,2008.4,-0.13960861212480105,-0.06220206018572356,13
2,SR,1,400.0,0,post,4,2200.0,-0.1471412057674606,-0.8040060897668202,2208.4,-0.1471412057674606,-0.06275626343469815,9
3,SR,1,200.0,0,base,1,200.0,-3.6099560503659447,-2.8392694294452667,202.0,-3.6099560503659447,-1.4197277419621026,1
3,SR,1,200.0,0,base,2,400.0,-3.593700214764905,-2.8219235291083655,402.0,-3.593700214764905,-1.4116040163134698,1
3,SR,1,200.0,0,base,3,600.0,-3.593868377757645,-2.8219355990489325,602.0,-3.593868377757645,-1.4116129272078592,1
3,SR,1,200.0,0,post,1,1600.0,-5.04970874834462,-3.8776866495609283,1601.6000000000001,-5.04970874834462,-2.4242761343464942,1
3,SR,1,200.0,0,post,2,1800.0,-5.013979200819842,-3.8464001019795737,1801.6000000000001,-5.013979200819842,-2.4063782006361394,1
3,SR,1,200.0,0,post,3,2000.0,-5.0076303052045645,-3.8417005439599357,2001.6000000000001,-5.0076303052045645,-2.4035760745282913,1
3,SR,1,200.0,0,post,4,2200.0,-5.006381269015771,-3.841150090098381,2201.6,-5.006381269015771,-2.40324016510263,1
4,SR,1,0.0,1,base,1,200.0,-1.365201319779482,-1.2181983838478723,207.20000000000002,-1.365201319779482,-0.16922531026238222,1
4,SR,1,0.0,1,base,2,400.0,-1.3561579225744147,-1.2066563069820404,407.20000000000005,-1.3561579225744147,-0.16772537593366293,1
4,SR,1,0.0,1,base,3,600.0,-1.3553996170073654,-1.205870971083641,607.2,-1.3553996170073654,-0.167620960185823,1
4,SR,1,0.0,1,post,1,1600.0,-0.2296684686429583,-2.7392987410227456,1608.4,-0.2296684686429583,-0.19790095387661039,15
4,SR,1,0.0,1,post,2,1800.0,-0.22692869853461609,-2.7094322741031647,1808.4,-0.22692869853461609,-0.1987601917379486,15
4,SR,1,0.0,1,post,3,2000.0,-0.23054308265533965,-2.7405424813429513,2008.4,-0.23054308265533965,-0.20675518379863927,15
4,SR,1,0.0,1,post,4,2200.0,-0.21253276715943847,-2.5146138072013855,2208.4,-0.21253276715943847,-0.2081380836027178,15
5,SP,1,200.0,0,base,1,200.0,-0.033278954068517295,-0.3515302961071332,228.8,-0.033278954068517295,-0.02952043482047603,16
5,SP,1,200.0,0,base,2,400.0,-0.03182506269051603,-0.35154204815626144,429.20000000000005,-0.03182506269051603,-0.028683232764403047,17
